row.number,subject,trial,color,FID,AD
1828,20,52,4,54,42
1829,20,53,1,48,69
1830,20,54,3,77,14
1831,20,55,2,59,46
1832,20,56,1,78,65
1833,20,57,2,27,41
1834,20,58,3,67,28
1835,20,59,1,73,65
1836,20,60,3,67,14
1837,20,61,3,78,20
1838,20,62,1,77,71
1839,20,63,2,66,41
1840,20,64,3,78,20
1841,20,65,4,74,69
1842,20,66,4,30,44
1843,20,67,4,65,28
1844,20,68,4,69,33
1845,20,69,1,78,63
1846,20,70,3,78,22
1847,20,71,2,70,39
1848,20,72,1,75,57
1849,20,73,3,72,15
1850,20,74,1,71,63
1851,20,75,2,65,33
1852,20,76,1,77,52
1853,20,77,2,59,42
1854,20,78,3,73,9
1855,20,79,2,66,30
1856,20,80,3,69,9
1857,20,81,1,77,52
1858,20,82,1,75,69
1859,20,83,3,69,15
1860,20,84,2,61,33
1861,20,85,2,62,39
